date,group,index,sub_items,coverage_permille,dod_pct,cum_pct
2026-09-16,food,100.0,29,114.16,,0.0
2026-09-17,food,99.94569503945895,29,114.16,-0.054304960541040614,-0.054304960541040614
2026-09-18,food,99.94569503945895,29,114.16,0.0,-0.054304960541040614
2026-09-19,food,99.94569503945895,29,114.16,0.0,-0.054304960541040614
2026-09-20,food,99.94569503945895,29,114.16,0.0,-0.054304960541040614
2026-09-21,food,99.94569503945895,29,114.16,0.0,-0.054304960541040614
2026-09-16,fv,100.0,2,23.740000000000002,,0.0
2026-09-17,fv,99.7068491831123,2,23.740000000000002,-0.2931508168876995,-0.2931508168876995
2026-09-18,fv,102.25767050226384,2,23.740000000000002,2.558321058232349,2.257670502263842
2026-09-19,fv,102.25767050226384,2,23.740000000000002,0.0,2.257670502263842
2026-09-20,fv,104.32951109616135,2,23.740000000000002,2.0260979775122534,4.329511096161354
2026-09-21,fv,100.79472134591883,2,23.740000000000002,-3.3881015190270425,0.7947213459188252
