chain,group,cbs_code,cbs_name,product_name,barcode,brand,kind,match
tivtaam,food,120100,מוצרי בצק,קוסקוס דק סוגת 350 ג,7290100702260,"אסיף תעשיות מזון בע""",packaged,shared/4
carrefour,food,120110,קטניות ומוצרי דגן,אורז אדום 500ג סוגת,7290100704691,"סוגת תעשיות בע""מ",packaged,shared/4
carrefour,food,120110,קטניות ומוצרי דגן,אורז עגול ריזוטו 1 ק,7290000211985,"סוגת תעשיות בע""מ",packaged,shared/4
carrefour,food,120110,קטניות ומוצרי דגן,בורגול 500 גרם סוגת,7290100700587,"סוגת תעשיות בע""מ",packaged,shared/4
ramilevy,food,120110,קטניות ומוצרי דגן,אורז אדום 500ג סוגת,7290100704691,"סוגת תעשיות בע""מ",packaged,shared/4
ramilevy,food,120110,קטניות ומוצרי דגן,אורז עגול ריזוטו 1 ק,7290000211985,"סוגת תעשיות בע""מ",packaged,shared/4
ramilevy,food,120110,קטניות ומוצרי דגן,בורגול 500 גרם סוגת,7290100700587,"סוגת תעשיות בע""מ",packaged,shared/4
shufersal,food,120110,קטניות ומוצרי דגן,אורז אדום 500ג סוגת,7290100704691,"סוגת תעשיות בע""מ",packaged,shared/4
shufersal,food,120110,קטניות ומוצרי דגן,אורז עגול ריזוטו 1 ק,7290000211985,"סוגת תעשיות בע""מ",packaged,shared/4
shufersal,food,120110,קטניות ומוצרי דגן,בורגול 500 גרם סוגת,7290100700587,"סוגת תעשיות בע""מ",packaged,shared/4
tivtaam,food,120110,קטניות ומוצרי דגן,אורז אדום 500ג סוגת,7290100704691,"סוגת תעשיות בע""מ",packaged,shared/4
tivtaam,food,120110,קטניות ומוצרי דגן,אורז עגול ריזוטו 1 ק,7290000211985,"סוגת תעשיות בע""מ",packaged,shared/4
tivtaam,food,120110,קטניות ומוצרי דגן,בורגול 500 גרם סוגת,7290100700587,"סוגת תעשיות בע""מ",packaged,shared/4
carrefour,food,120120,ביצים,12 ביצים חופש L מ. ל,7290001201862,",",packaged,shared/3
carrefour,food,120120,ביצים,12 ביצים חופש M מ.לס,7290001201886,",",packaged,shared/3
shufersal,food,120120,ביצים,12 ביצים חופש L מ. ל,7290001201862,",",packaged,shared/3
shufersal,food,120120,ביצים,12 ביצים חופש M מ.לס,7290001201886,",",packaged,shared/3
tivtaam,food,120120,ביצים,12 ביצים חופש L מ. ל,7290001201862,",",packaged,shared/3
tivtaam,food,120120,ביצים,12 ביצים חופש M מ.לס,7290001201886,",",packaged,shared/3
carrefour,food,120140,בשר בקר,אסאדו מפורק 240 גרם זוגלובק,7290109581651,כללי,packaged,shared/3
carrefour,food,120140,בשר בקר,בורגר אנטריקוט360 אלגאצו,7290004011819,OF עבור נטו,packaged,shared/4
carrefour,food,120140,בשר בקר,קבב אנטריקוט קצבים א,7290002453697,",",packaged,shared/3
ramilevy,food,120140,בשר בקר,אסאדו מפורק 240 גרם זוגלובק,7290109581651,כללי,packaged,shared/3
ramilevy,food,120140,בשר בקר,בורגר אנטריקוט360 אלגאצו,7290004011819,OF עבור נטו,packaged,shared/4
ramilevy,food,120140,בשר בקר,קבב אנטריקוט קצבים א,7290002453697,",",packaged,shared/3
shufersal,food,120140,בשר בקר,בורגר אנטריקוט360 אלגאצו,7290004011819,OF עבור נטו,packaged,shared/4
shufersal,food,120140,בשר בקר,קבב אנטריקוט קצבים א,7290002453697,",",packaged,shared/3
tivtaam,food,120140,בשר בקר,אסאדו מפורק 240 גרם זוגלובק,7290109581651,כללי,packaged,shared/3
tivtaam,food,120140,בשר בקר,בורגר אנטריקוט360 אלגאצו,7290004011819,OF עבור נטו,packaged,shared/4
carrefour,food,120160,עופות,צונגו פנקו שניצל עוף טו,7290019205920,",",packaged,shared/4
carrefour,food,120160,עופות,שניצל עוף אמיתי ביתי 700 גרם,7290008409582,תנובה גליל שותפות מו,packaged,shared/4
carrefour,food,120160,עופות,שניצל עוף אמיתי בציפוי מעודן-700 גרם,7290008409551,תנובה גליל שותפות מו,packaged,shared/4
ramilevy,food,120160,עופות,צונגו פנקו שניצל עוף טו,7290019205920,",",packaged,shared/4
