date,chain,store_id,barcode,cbs_code,cbs_name,group,product_name,name,manufacturer,quantity,unit_of_measure,unit_qty,is_weighted,price,unit_price,promo_price,promo_min_qty,promo_desc,promo_id,effective_price,price_update,found,source_file,promo_file
2026-09-16,shufersal,290,7290004011819,120140,בשר בקר,food,בורגר אנטריקוט360 אלגאצו,בורגר אנטריקוט360 אלגאצו,"טיבון ויל אחזקות בע""מ",360.0,100 גרם,גרם,0.0,26.9,7.47,,,,,26.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290002453697,120140,בשר בקר,food,קבב אנטריקוט קצבים א,קבב אנטריקוט קצבים,---,400.0,100 גרם,גרם,0.0,31.9,7.98,,,,,31.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290019205920,120160,עופות,food,צונגו פנקו שניצל עוף טו,צונגו פנקו שניצל עוף טו,---,600.0,100 גרם,גרם,0.0,42.9,7.15,,,,,42.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290008409582,120160,עופות,food,שניצל עוף אמיתי ביתי 700 גרם,שניצל מתובל 700 גרם,תנובה גליל שותפות מוגבלת,700.0,100 גרם,גרם,0.0,49.9,7.13,35.0,2.0,ב. 2ב70 שניצל מתובל/דק דק/עוף ותירס 70,4611858.0,35.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290008409551,120160,עופות,food,שניצל עוף אמיתי בציפוי מעודן-700 גרם,שניצל עוף אמיתי מעודן700,תנובה גליל שותפות מוגבלת,700.0,100 גרם,גרם,0.0,49.9,7.13,35.0,2.0,ב. 2ב70 שניצל מתובל/דק דק/עוף ותירס 70,4611858.0,35.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290012228278,120170,בשר משומר ומעובד,food,נקניקיות הודו בקר ריינהולדס 310 גרם,נקניקיות בוקוורסט310ג,זוגלובק,310.0,100 גרם,גרם,0.0,26.9,8.68,,,,,26.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000537603,120170,בשר משומר ומעובד,food,נקניקיות עוף1ק זוגלובק,נקניקיות עוף1ק זוגלובק,זוגלובק,1.0,1קילוגרם,קילוגרם,0.0,28.9,28.9,,,,,28.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290109580050,120170,בשר משומר ומעובד,food,נקניקיות צוריסוס wonders 226 גר,נקניקיות צוריסו ונדרס226,זוגלובק,226.0,100 גרם,גרם,0.0,30.9,13.67,25.0,2.0,ב. 2ב50 מוצרי וונדרס מן הצומח 226-430,4611899.0,25.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290003069590,120180,דגים,food,פילה דג סול (פוטית) קפוא,פילה דג סול (פוטית) קפוא,נטו,1000.0,100 גרם,גרם,0.0,34.9,3.49,34.9,1.0,ב- 34.90 שח פילה סול קפוא,4621634.0,34.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,5901576058585,120180,דגים,food,פילה סלמון מעושן פרוס מצונן 100 גרם,פילה סלמון מעושן פרוס100,---,100.0,100 גרם,גרם,0.0,25.9,25.9,22.5,2.0,2ב45 פילה פורל/סלמון מעושן פרוס 100,4612022.0,22.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
